transaction_id,merchant_id,txn_ts_utc,amount,status,payment_method
t_000001,m_1006,2026-01-01T03:48:01Z,186.29,APPROVED,CARD
t_000002,m_1006,2026-01-01T03:29:43Z,186.07,APPROVED,WALLET
t_000003,m_1001,2026-01-01T01:01:05Z,57.39,APPROVED,CARD
t_000004,m_1005,2026-01-01T06:47:45Z,163.7,APPROVED,CARD
t_000005,m_1004,2026-01-01T20:06:17Z,203.02,APPROVED,CARD
t_000006,m_1006,2026-01-01T14:25:21Z,72.0,APPROVED,WALLET
t_000007,m_1001,2026-01-01T03:09:24Z,27.34,APPROVED,WALLET
t_000008,m_1007,2026-01-01T01:28:46Z,116.75,APPROVED,WALLET
t_000009,m_1001,2026-01-01T18:50:18Z,207.95,APPROVED,WALLET
t_000010,m_1005,2026-01-01T06:33:45Z,20.65,APPROVED,WALLET
t_000011,m_1001,2026-01-01T07:56:55Z,28.4,APPROVED,WALLET
t_000012,m_1002,2026-01-01T12:38:22Z,55.14,APPROVED,CARD
t_000013,m_1005,2026-01-01T21:40:10Z,135.17,APPROVED,WALLET
t_000014,m_1004,2026-01-01T09:12:59Z,161.26,APPROVED,WALLET
t_000015,m_1007,2026-01-01T01:54:14Z,206.07,APPROVED,WALLET
t_000016,m_1003,2026-01-01T02:15:13Z,228.59,APPROVED,WALLET
t_000017,m_1002,2026-01-01T22:22:31Z,101.02,DECLINED,WALLET
t_000018,m_1002,2026-01-01T09:02:08Z,64.29,APPROVED,WALLET
t_000019,m_1006,2026-01-01T19:57:27Z,224.81,APPROVED,CARD
t_000020,m_1002,2026-01-01T17:23:31Z,25.91,APPROVED,CARD
t_000021,m_1002,2026-01-01T21:25:10Z,198.75,APPROVED,CARD
t_000022,m_1004,2026-01-01T13:01:38Z,249.04,APPROVED,CARD
t_000023,m_1006,2026-01-01T03:54:43Z,221.6,APPROVED,WALLET
t_000024,m_1001,2026-01-01T10:01:27Z,42.49,APPROVED,WALLET
t_000025,m_1005,2026-01-01T06:05:32Z,228.46,DECLINED,WALLET
t_000026,m_1007,2026-01-01T21:48:32Z,153.61,APPROVED,CARD
t_000027,m_1005,2026-01-01T18:06:58Z,3.64,APPROVED,CARD
t_000028,m_1001,2026-01-01T12:23:56Z,246.38,APPROVED,CARD
